%,ADP,Data,File:,ELK2205021446.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,14:46:03,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
11,2022-05-02,14:46:54,11.6,5.5,0.8,-5.5,36.81112333,-121.7808283,2.96,3.34,3.36,3.22,0,0.21,133.8,0.31,7.5,0.01,0.7,7,0.84,4.9
12,2022-05-02,14:46:59,12.7,6.6,0.9,-6.6,36.81113,-121.780815,2.56,3.39,3.39,3.11,0,0.22,173.9,0.21,327.5,0.03,1.8,5,-0.32,4.5
13,2022-05-02,14:47:04,14.5,8.1,2.1,-7.8,36.811135,-121.7808067,2.96,3.29,3.37,3.21,0,0.36,135.5,0.28,52.1,0.02,1.1,7,1.58,6.1
14,2022-05-02,14:47:09,15.1,8.7,2.4,-8.3,36.81114167,-121.780795,3.11,2.95,3.51,3.19,0,0.11,151.8,0.3,344.1,0.01,0.9,7,0.11,6.2
15,2022-05-02,14:47:14,16.5,9.8,3.7,-9,36.81115167,-121.7807917,3.2,3.01,3.6,3.27,0,0.29,119.2,0.14,341.9,0.02,1.2,7,0.44,6.7
16,2022-05-02,14:47:19,17.3,10.5,4,-9.8,36.81116333,-121.7807967,3.32,3.25,3.75,3.44,0,0.16,156.6,0.19,331.2,0.02,0.9,7,-0.05,6.6
17,2022-05-02,14:47:24,18.5,11.5,4.9,-10.4,36.811175,-121.780795,3.47,3.2,3.75,3.47,0,0.23,125,0.44,45.7,0.04,2.1,7,1.73,8.4
18,2022-05-02,14:47:29,20.1,12.9,6.2,-11.3,36.81119,-121.78079,3.54,3.25,3.82,3.54,0,0.32,124.5,0.27,40.9,0.02,0.9,7,1.52,9.9
19,2022-05-02,14:47:34,22,14.5,8,-12,36.81120333,-121.78079,3.48,3.64,3.72,3.61,0,0.39,112,0.16,38.2,0.02,0.8,8,1.08,11
20,2022-05-02,14:47:39,23.4,15.9,9.1,-13,36.81121,-121.780785,3.4,3.58,3.5,3.49,0,0.28,132.7,0.31,47,0.02,1.1,8,1.55,12.5
21,2022-05-02,14:47:44,26.6,15.5,6.1,-14.3,36.81120167,-121.7807667,3.5,3.74,3.81,3.68,0,0.65,246.3,0.26,355,0.02,0.8,8,-2.91,9.6
22,2022-05-02,14:47:49,29.2,16.4,4.1,-15.9,36.81117833,-121.7807367,3.88,4.02,4,3.97,0,0.51,232.2,0.29,19,0.02,1.4,9,-1.6,8
23,2022-05-02,14:47:54,30.4,17.5,3.9,-17,36.81117833,-121.7807233,4.01,4.1,3.92,4.01,0,0.24,188.4,0.25,351.3,0.02,1,9,-0.36,7.6
24,2022-05-02,14:47:59,32.5,18.5,6,-17.6,36.81119833,-121.7807217,3.91,3.97,3.91,3.93,0,0.42,104,0.28,24.6,0.01,0.7,9,2.27,9.9
25,2022-05-02,14:48:04,34.5,20.2,7.6,-18.7,36.81122333,-121.7807367,3.68,4.04,3.87,3.86,0,0.4,124.7,0.17,50.8,0.02,0.9,9,1.24,11.1
26,2022-05-02,14:48:09,35.4,21.1,8.1,-19.5,36.81122667,-121.7807417,3.63,4.02,3.81,3.82,0,0.19,146.1,0.13,95.7,0.01,0.6,9,0.38,11.5
27,2022-05-02,14:48:14,36,21.7,8.5,-19.9,36.81123167,-121.7807433,3.5,3.97,3.8,3.76,0,0.11,143.6,0.23,59,0.01,0.7,8,0.48,12
28,2022-05-02,14:48:19,36.5,22.1,8.6,-20.4,36.81123667,-121.7807383,3.48,3.88,3.8,3.72,0,0.09,158.7,0.2,90.7,0.02,1.1,8,0.32,12.3
29,2022-05-02,14:48:24,37.6,23.2,9.2,-21.3,36.81124167,-121.7807367,3.45,3.8,3.81,3.69,0,0.22,149.4,0.21,53.7,0.02,0.9,8,0.87,13.2
30,2022-05-02,14:48:29,38.9,24.5,10.2,-22.3,36.81125667,-121.7807367,3.37,3.86,3.75,3.66,0,0.26,133.9,0.27,41.2,0.02,1.1,8,1.29,14.5
31,2022-05-02,14:48:34,41.1,26.4,11.9,-23.6,36.81127,-121.7807383,3.33,3.65,3.72,3.57,0,0.43,129.1,0.27,71.4,0.01,0.7,8,1.76,16.2
32,2022-05-02,14:48:39,43.2,28.5,13.3,-25.2,36.81129167,-121.7807417,3.17,3.48,3.62,3.42,0,0.42,137.7,0.26,33.9,0.03,1.6,7,1.8,18
33,2022-05-02,14:48:44,45.2,30.3,14.9,-26.4,36.81131,-121.7807467,2.9,3.25,3.53,3.23,0,0.41,127,0.23,34,0.03,1.5,6,1.53,19.6
34,2022-05-02,14:48:49,46.2,31.2,15.7,-26.9,36.81132667,-121.7807517,2.74,3.15,3.44,3.11,0,0.2,122.3,0.26,348.5,0.03,1.5,6,0.6,20.2
35,2022-05-02,14:48:54,47.9,32.9,16.9,-28.2,36.81134,-121.7807533,2.8,2.88,3.38,3.02,0,0.35,137.2,0.15,65.8,0.04,2.2,6,0.73,20.9
36,2022-05-02,14:48:59,49,33.9,17.7,-28.9,36.81135333,-121.780755,3.03,2.91,3.63,3.19,0,0.22,130.1,0.29,30.1,0.03,1.5,6,0.98,21.9
37,2022-05-02,14:49:04,50.6,35.4,19.1,-29.8,36.811365,-121.780755,3.54,3.34,3.74,3.54,0,0.32,124.3,0.25,30.9,0.02,0.8,8,1.41,23.3
38,2022-05-02,14:49:09,52.1,36.8,20.3,-30.7,36.81138167,-121.7807533,3.82,3.43,3.9,3.72,0,0.3,124.2,0.29,29,0.02,0.9,8,1.62,24.9
39,2022-05-02,14:49:14,53.9,38.5,21.5,-32,36.81139333,-121.780745,3.92,3.78,3.93,3.88,0,0.35,138.1,0.25,31.4,0.02,0.9,9,1.6,26.5
40,2022-05-02,14:49:19,55.4,40.1,22.3,-33.3,36.81141167,-121.78074,3.69,3.96,3.76,3.8,0,0.31,147.2,0.18,19.5,0.01,0.8,9,0.85,27.3
41,2022-05-02,14:49:24,57.2,41.5,24,-33.8,36.81142833,-121.7807383,3.78,3.95,3.75,3.83,0,0.36,107.2,0.28,27,0.02,1.2,9,1.86,29.2
42,2022-05-02,14:49:29,59.2,43.2,25.8,-34.6,36.81144833,-121.780745,3.74,3.81,3.85,3.8,0,0.39,116.2,0.06,355,0.01,0.7,9,0.36,29.6
43,2022-05-02,14:49:34,60.2,44.1,26.7,-35.1,36.81146167,-121.78075,3.86,3.88,3.94,3.89,0,0.21,114.4,0.14,47.4,0.02,0.9,9,0.54,30.1
44,2022-05-02,14:49:39,61.1,44.8,26.6,-36,36.81146667,-121.780745,3.87,3.93,3.81,3.87,0,0.19,185.5,0.23,68.4,0.02,0.9,9,0.74,30.8
45,2022-05-02,14:49:44,62.3,45.6,26.4,-37.2,36.811475,-121.780735,3.81,3.92,3.71,3.81,0,0.23,192.1,0.12,13.4,0.01,0.9,9,0.01,30.9
46,2022-05-02,14:49:49,63.6,46.8,26.7,-38.4,36.81148333,-121.7807283,3.66,3.99,3.7,3.78,0,0.26,167.5,0.14,78.9,0.01,0.8,9,0.68,31.5
47,2022-05-02,14:49:54,65.4,48.4,27.1,-40.1,36.81149333,-121.7807233,3.61,3.75,3.49,3.62,0,0.35,164.3,0.07,15.2,0.01,0.6,8,0.21,31.8
48,2022-05-02,14:49:59,66.6,49.7,28,-41,36.81151,-121.780715,3.63,3.52,3.59,3.58,0,0.25,136.8,0.22,31.5,0.02,1.1,8,0.95,32.7
49,2022-05-02,14:50:04,67.6,50.5,28,-42,36.81152167,-121.78071,3.46,3.55,3.57,3.53,0,0.2,181.7,0.21,352.1,0.02,1,8,-0.13,32.6
50,2022-05-02,14:50:09,69.7,52.6,29.1,-43.8,36.81153333,-121.7807,3.54,3.68,3.52,3.58,0,0.42,145.9,0.15,32.5,0.02,0.8,8,1.04,33.6
51,2022-05-02,14:50:14,73.1,55.9,31.4,-46.3,36.811555,-121.780685,3.21,3.62,3.36,3.4,0,0.67,138.5,0.19,118.3,0.02,1.2,7,0.72,34.3
52,2022-05-02,14:50:19,75.9,58.2,34,-47.3,36.81158,-121.780685,3.03,3.52,3.22,3.26,0,0.56,110.8,0.12,44.7,0.01,0.7,7,1,35.3
53,2022-05-02,14:50:24,76.7,59,34.7,-47.7,36.81159833,-121.7806917,2.83,3.48,3.36,3.22,0,0.16,121.5,0.2,112.3,0.02,1.4,6,0.08,35.4
54,2022-05-02,14:50:29,80.2,56.5,31.1,-47.1,36.8116,-121.78068,2.81,3.1,3.3,3.07,0,0.71,278.8,0.24,254.8,0.02,1.3,6,1.05,36.5
55,2022-05-02,14:50:34,83,54.1,30.7,-44.5,36.81159333,-121.7806633,2.72,3.36,3.32,3.13,0,0.54,351.5,0.23,35.1,0.02,1,6,-1.36,35.1
56,2022-05-02,14:50:39,84.9,53.2,31.7,-42.7,36.81157,-121.78066,2.49,3.39,3.31,3.06,0,0.4,29.9,0.19,99.1,0.03,1.5,5,-1.06,34
57,2022-05-02,14:50:44,87.8,52.6,33.5,-40.5,36.811555,-121.7806667,3.39,3.66,3.37,3.47,0,0.57,39.1,0.29,54.8,0.01,0.7,8,-0.79,33.3
58,2022-05-02,14:50:49,89.2,51.8,33.8,-39.2,36.81154167,-121.7806633,3.63,3.83,3.42,3.63,0,0.27,12.6,0.24,57.1,0.01,0.8,8,-0.84,32.4
59,2022-05-02,14:50:54,89.9,51.2,33.7,-38.5,36.81153833,-121.7806517,3.46,3.84,3.5,3.6,0,0.15,352.9,0.23,115,0.02,0.9,8,-0.51,31.9
60,2022-05-02,14:50:59,91.2,49.9,33.3,-37.2,36.81154333,-121.78063,3.5,3.75,3.34,3.53,0,0.27,339,0.18,84.2,0.01,0.7,8,-0.82,31.1
61,2022-05-02,14:51:04,93.9,47.4,32.1,-34.8,36.81152,-121.7806317,3.47,3.66,3.16,3.43,0,0.53,334.8,0.28,19.7,0.02,1.1,7,-1.79,29.3
62,2022-05-02,14:51:09,95.6,45.8,31.7,-33.1,36.811505,-121.78063,3.66,3.69,3.33,3.56,0,0.35,345.2,0.33,36.3,0.02,0.8,8,-1.61,27.7
63,2022-05-02,14:51:14,96.3,45.9,32.2,-32.7,36.81149333,-121.7806267,3.69,3.95,3.39,3.68,0,0.14,48.8,0.36,96.1,0.02,0.9,8,-0.68,27
64,2022-05-02,14:51:19,97,45.8,32.7,-32.1,36.81148333,-121.7806283,3.78,3.98,3.6,3.79,0,0.14,42.7,0.26,101.4,0.02,0.9,8,-0.58,26.4
65,2022-05-02,14:51:24,97.4,45.9,32.9,-32,36.81148167,-121.780635,3.5,3.94,3.52,3.65,0,0.06,58.3,0.14,99.4,0.01,0.6,8,-0.11,26.3
66,2022-05-02,14:51:29,99,46.1,34.2,-30.9,36.81147667,-121.7806433,3.86,3.95,3.38,3.73,0,0.33,50.1,0.27,72.1,0.02,0.9,8,-0.63,25.7
67,2022-05-02,14:51:34,101.2,47,36.2,-30,36.811465,-121.7806533,3.78,3.74,3.49,3.67,0,0.43,64.9,0.3,83,0.02,1.1,8,-0.75,25
68,2022-05-02,14:51:39,106.2,49.3,40.7,-27.8,36.81145,-121.7806817,3.85,4.13,3.6,3.86,0,1.01,64.3,0.31,59,0.02,0.9,8,0.55,25.5
69,2022-05-02,14:51:44,112.7,54.2,47.1,-26.7,36.81143,-121.7807533,3.86,4.12,3.86,3.95,0,1.3,80.4,0.37,98,0.01,0.6,9,-2.9,22.6
70,2022-05-02,14:51:49,117.9,58,52.1,-25.4,36.81142167,-121.7807967,3.86,4.13,3.7,3.9,0,1.04,75,0.24,93.5,0.02,0.8,9,-1.52,21.1
71,2022-05-02,14:51:54,121.8,61.1,55.9,-24.6,36.811415,-121.78085,3.46,3.98,3.65,3.7,0,0.77,78.9,0.22,128.7,0.02,0.9,8,-2.4,18.7
72,2022-05-02,14:51:59,126.3,65,60.4,-24,36.81141167,-121.7808867,3.64,3.74,3.54,3.64,0,0.91,82.4,0.47,79.5,0.03,1.5,8,0.4,19.1
73,2022-05-02,14:52:04,128.9,66.9,62.8,-23.1,36.81141,-121.7809117,3.09,3.59,3.43,3.37,0,0.51,69.4,0.12,99.4,0.02,1,7,-0.53,18.6
74,2022-05-02,14:52:09,131.5,68.5,65,-21.6,36.811405,-121.7809417,2.99,3.5,3.11,3.2,0,0.53,55,0.28,25.6,0.02,1,7,1.14,19.7
75,2022-05-02,14:52:14,133.2,69.4,66.3,-20.5,36.81140167,-121.7809567,3.48,3.62,3.39,3.5,0,0.35,50.7,0.37,37.7,0.01,0.7,8,0.51,20.2
76,2022-05-02,14:52:19,135.1,71,68.1,-20.1,36.811405,-121.780975,2.97,3.62,3.4,3.33,0,0.37,75.6,0.31,62.4,0.02,1.1,7,0.43,20.6
77,2022-05-02,14:52:24,137,72.9,70,-20.1,36.81141333,-121.7809917,3.13,3.77,3.34,3.41,0,0.39,92.2,0.35,60.3,0.03,1.5,7,1.2,21.8
78,2022-05-02,14:52:29,138.7,74.1,70.9,-21.6,36.811425,-121.7809983,2.98,3.25,3.24,3.16,0,0.34,149.5,0.09,36.3,0.02,0.9,7,0.44,22.3
79,2022-05-02,14:52:34,139.9,74.6,71,-22.7,36.81144167,-121.7809983,3.49,3.12,3.35,3.32,0,0.23,175,0.06,335.6,0.02,1.2,7,-0.07,22.2
80,2022-05-02,14:52:39,141.8,76.4,72.5,-24.1,36.81145667,-121.7809917,3.48,3.22,3.51,3.4,0,0.39,131.8,0.26,35.9,0.01,0.7,7,1.76,24
81,2022-05-02,14:52:44,142.8,77.1,72.9,-24.9,36.81147333,-121.7809817,3.63,3.77,3.52,3.64,0,0.2,150.5,0.21,337,0.02,0.9,8,0.09,24.1
82,2022-05-02,14:52:49,145.3,78.8,74,-27.2,36.81148833,-121.7809767,3.07,3.49,3.52,3.36,0,0.5,156,0.11,14.8,0.02,0.9,7,0.58,24.6
83,2022-05-02,14:52:54,147.8,81.2,75.9,-28.6,36.81150167,-121.7809683,3.22,3.43,3.67,3.44,0,0.49,126.2,0.15,27.9,0.02,1,7,1.28,25.9
84,2022-05-02,14:52:59,148.5,81.5,76,-29.4,36.81151833,-121.7809533,3.5,3.72,3.68,3.63,0,0.15,176.9,0.4,313.2,0.03,1.6,8,-0.75,25.2
85,2022-05-02,14:53:04,149.8,82.7,76.9,-30.4,36.81153167,-121.7809433,3.28,3.83,3.7,3.6,0,0.27,138.6,0.21,346.4,0.02,0.9,8,0.48,25.6
86,2022-05-02,14:53:09,150.9,83.3,77.2,-31.3,36.81154167,-121.780935,3.25,3.87,3.69,3.6,0,0.2,159.7,0.19,342.8,0.02,1.2,7,0.04,25.7
87,2022-05-02,14:53:14,152.3,84,77.4,-32.8,36.811555,-121.7809267,3.2,3.59,3.46,3.42,0,0.29,173,0.2,308.7,0.02,1.2,7,-0.67,25
88,2022-05-02,14:53:19,154.4,85.5,78.1,-34.8,36.811565,-121.7809167,3.06,3.62,3.1,3.26,0,0.42,159.5,0.14,49.6,0.02,1,7,0.91,25.9
89,2022-05-02,14:53:24,156.9,87,78.7,-37.1,36.81158,-121.7809033,2.9,2.73,3.25,2.96,0,0.49,166.1,0.02,151.9,0.03,1.6,6,0.04,26
90,2022-05-02,14:53:29,159.2,86.3,77.1,-38.8,36.81159333,-121.78089,3.22,3.57,3.1,3.3,0,0.47,223.6,0.43,279.5,0.02,1.2,7,-2.78,23.2
91,2022-05-02,14:53:34,161.4,88.2,78.2,-40.8,36.811605,-121.7808783,2.72,2.42,3,2.71,0,0.44,151.3,0.08,49.9,0.04,2.2,5,0.47,23.6
92,2022-05-02,14:53:39,163.8,90.5,80.3,-41.9,36.81164,-121.780885,3.06,2.8,3.06,2.97,0,0.48,117.4,0.05,75.9,0.02,1.4,6,0.25,23.9
93,2022-05-02,14:53:44,164.4,91.1,80.9,-42,36.81164333,-121.7809067,3.14,3.23,3.02,3.13,0,0.13,100.6,0.09,251.5,0.02,0.9,7,-0.08,23.8
94,2022-05-02,14:53:49,166.5,90.7,81.5,-39.9,36.81163,-121.7809183,3.21,3.21,2.98,3.13,0,0.42,16,0.19,343.8,0.02,1,7,0.65,24.5
95,2022-05-02,14:53:54,169.4,91.2,83.1,-37.6,36.81161333,-121.7809233,3,3.3,3.08,3.13,0,0.58,35,0.03,65.1,0.02,1.3,7,-0.13,24.3
96,2022-05-02,14:53:59,171.6,92.2,84.8,-36.2,36.811595,-121.7809333,2.93,3.56,3.14,3.21,0,0.44,50.6,0.06,115,0.02,1.2,6,-0.41,23.9
97,2022-05-02,14:54:04,173.8,93.6,86.8,-35.2,36.81158167,-121.7809533,2.86,3,3.28,3.05,0,0.44,62.7,0.21,84.3,0.01,0.9,6,-0.53,23.4
98,2022-05-02,14:54:09,174.7,94.1,87.5,-34.7,36.81158,-121.7809633,3.45,3.28,3.27,3.33,0,0.17,56.7,0.12,33.5,0.02,1.2,7,0.14,23.5
99,2022-05-02,14:54:14,175.7,95.1,88.5,-34.9,36.81158167,-121.780975,3.27,3.63,3.24,3.38,0,0.2,99,0.11,74.6,0.02,0.8,7,0.15,23.7
100,2022-05-02,14:54:19,177.2,96.6,89.7,-35.9,36.81158667,-121.7809867,3.02,3.7,3.13,3.28,0,0.32,130.4,0.24,115.3,0.02,1,7,0.32,24
101,2022-05-02,14:54:24,178.6,97.8,91,-35.8,36.811595,-121.781,2.58,3.41,3.04,3.01,0,0.27,84.5,0.13,21.8,0.02,1.1,5,0.48,24.5
102,2022-05-02,14:54:29,180.4,99.5,92.8,-35.9,36.81159833,-121.781015,2.71,2.94,2.9,2.85,0,0.36,93.4,0.31,82.3,0.03,1.5,6,0.31,24.8
103,2022-05-02,14:54:34,181.3,100.4,93.6,-36.3,36.81160333,-121.7810267,2.96,3.54,3.02,3.17,0,0.19,118.6,0.07,105,0.02,1.2,7,0.05,24.8
104,2022-05-02,14:54:39,184.2,103,96.5,-35.9,36.81160833,-121.781045,2.79,3.33,3.09,3.07,0,0.58,82.3,0.29,63.9,0.02,1.1,6,0.8,25.6
105,2022-05-02,14:54:44,184.7,103.4,96.8,-36.3,36.81161667,-121.781065,2.49,2.89,3.03,2.8,0,0.1,140.3,0.16,306.6,0.03,1.9,5,-0.05,25.6
106,2022-05-02,14:54:49,186.8,105.5,98.7,-37.3,36.81162167,-121.7810733,2.41,2.52,2.52,2.48,0,0.42,117.8,0.25,107.6,0.02,1.2,5,0.23,25.8
107,2022-05-02,14:54:54,188.4,106.9,100.3,-37.2,36.81163167,-121.7810817,1.81,2.24,2.77,2.27,0,0.32,85.1,0.16,55.9,0.03,1.7,3,0.27,26.1
108,2022-05-02,14:54:59,190.9,109.1,102.7,-36.8,36.81164,-121.7810967,2.81,2.75,2.84,2.8,0,0.5,81.6,0.38,57.9,0.02,1.4,6,1.05,27.2
109,2022-05-02,14:55:04,191.9,110,103.4,-37.5,36.81164667,-121.7811017,2.79,2.76,2.69,2.75,0,0.19,134,0.12,35,0.03,1.4,6,0.31,27.5
110,2022-05-02,14:55:09,193.3,109.6,102.6,-38.6,36.811655,-121.7811033,2.51,2.14,2.84,2.5,0,0.28,217.8,0.33,239.5,0.04,2.3,4,-0.43,27
111,2022-05-02,14:55:14,194.7,111,103.8,-39.3,36.81166333,-121.7811133,2.36,3.09,2.87,2.77,0,0.28,120.7,0.25,59.9,0.02,1.2,5,0.85,27.9
112,2022-05-02,14:55:19,195.7,110.2,102.8,-39.7,36.81167167,-121.7811117,2.81,3.02,2.84,2.89,0,0.21,245.8,0.1,2.5,0.02,1.2,6,-0.28,27.6
113,2022-05-02,14:55:24,197.3,111.8,104.4,-40,36.81168667,-121.78112,2.16,2.27,2.83,2.42,0,0.31,99.5,0.34,37.1,0.03,1.6,4,1.15,28.7
114,2022-05-02,14:55:29,199.3,113.7,106.3,-40.5,36.81169667,-121.7811233,2.46,2.43,2.9,2.6,0,0.39,104.3,0.34,67.4,0.02,1,5,1.04,29.8
115,2022-05-02,14:55:34,200.9,114.7,106.7,-42.1,36.81171167,-121.7811233,1.83,2.52,2.85,2.4,0,0.33,164.3,0.04,141.6,0.04,2.5,3,0.06,29.9
116,2022-05-02,14:55:39,202.6,115.8,107.2,-43.7,36.811725,-121.7811167,2.35,2.8,2.62,2.59,0,0.35,164.1,0.17,63.4,0.02,1.1,5,0.77,30.6
117,2022-05-02,14:55:44,204.2,114.6,105.7,-44.3,36.81174,-121.78111,2.87,2.93,2.73,2.84,0,0.31,250.1,0.54,306.5,0.02,1.3,6,-2.01,28.6
118,2022-05-02,14:55:49,206.9,116.7,107,-46.6,36.81175167,-121.7811083,1.89,2.31,2.68,2.29,0,0.53,150.3,0.26,145.9,0.05,3.1,3,0.12,28.7
119,2022-05-02,14:55:54,209.2,117.3,106.6,-48.9,36.81176667,-121.7811067,2.88,2.43,2.59,2.63,0,0.46,189.7,0.22,254.2,0.03,1.4,5,-1.23,27.5
120,2022-05-02,14:55:59,210.5,118.4,107.4,-49.9,36.81178167,-121.7810833,2.84,2.48,2.76,2.69,0,0.25,144.1,0.25,37.6,0.03,2,5,0.84,28.3
121,2022-05-02,14:56:04,212.7,120.2,108.4,-51.9,36.81179667,-121.7810883,2.27,2.62,2.8,2.56,0,0.45,154.2,0.09,146.6,0.03,1.7,4,0.07,28.4
122,2022-05-02,14:56:09,214.5,121.1,108.6,-53.7,36.81181,-121.781095,2.62,2.76,2.69,2.69,0,0.35,171.9,0.08,205.9,0.03,1.3,6,-0.2,28.2
123,2022-05-02,14:56:14,215.4,121.9,109.1,-54.5,36.81182167,-121.7811,2.84,2.66,2.9,2.8,0,0.18,150.3,0.11,329.4,0.02,1,6,0,28.2
124,2022-05-02,14:56:19,217.9,123.1,109.1,-57,36.81183,-121.7811017,2.54,2.55,2.87,2.65,0,0.51,178.4,0.28,201.3,0.03,1.4,5,-0.73,27.5
125,2022-05-02,14:56:24,220.7,125.8,111.1,-58.9,36.81183333,-121.781125,2.81,2.7,2.76,2.76,0,0.55,133.5,0.55,142.5,0.03,1.5,6,-0.65,26.8
126,2022-05-02,14:56:29,223,127.1,113.2,-57.8,36.81182167,-121.7811383,2.3,2.97,2.82,2.7,0,0.46,62.1,0.12,64.4,0.02,1.3,5,-0.03,26.8
127,2022-05-02,14:56:34,227.3,129.6,117,-55.7,36.81180167,-121.7811617,2.47,2.86,2.85,2.73,0,0.87,60.8,0.11,63.4,0.02,1.2,5,-0.06,26.7
128,2022-05-02,14:56:39,230.2,130.9,119.2,-54,36.81178333,-121.7812,2.47,2.44,2.84,2.58,0,0.57,53.4,0.04,98.2,0.03,2,5,-0.22,26.5
129,2022-05-02,14:56:44,231.9,132,120.7,-53.2,36.81177833,-121.7812233,2.82,2.96,2.79,2.86,0,0.34,62.4,0.06,122.7,0.02,1.1,6,-0.26,26.3
130,2022-05-02,14:56:49,232.4,132.4,121.3,-53.1,36.81178167,-121.7812317,2.66,2.8,2.75,2.74,0,0.11,79.9,0.03,175.1,0.03,1.3,6,-0.04,26.2
131,2022-05-02,14:56:54,232.7,132.2,121.1,-53.1,36.81178167,-121.78123,2.58,2.84,2.69,2.7,0,0.05,270,0.02,23.6,0.03,1.6,5,-0.01,26.2
132,2022-05-02,14:56:59,233.6,133,122,-53,36.81178,-121.78122,2.73,2.86,2.73,2.77,0,0.18,82.1,0.21,75.7,0.02,0.9,6,0.06,26.3
133,2022-05-02,14:57:04,234.1,133.5,122.5,-53.1,36.81178667,-121.7812233,2.7,2.87,2.76,2.78,0,0.11,98.1,0.12,323.4,0.02,1.2,6,0.12,26.4
134,2022-05-02,14:57:09,235.5,134.9,123.6,-53.9,36.81179833,-121.7812333,2.82,2.88,2.79,2.83,0,0.28,126.7,0.06,357.7,0.03,1.7,6,0.19,26.6
135,2022-05-02,14:57:14,237.2,136.6,125.1,-54.7,36.81181,-121.7812467,2.78,2.75,2.71,2.75,0,0.34,117.5,0.07,33.5,0.03,1.6,6,0.31,26.9
136,2022-05-02,14:57:19,238.2,137.6,126,-55.2,36.81182167,-121.7812533,2.66,2.78,2.84,2.76,0,0.2,122.8,0.19,342.7,0.03,1.8,6,0.33,27.2
137,2022-05-02,14:57:24,239.2,138.6,127,-55.4,36.81183333,-121.78126,2.48,2.78,2.86,2.71,0,0.21,98.3,0.14,356.9,0.03,1.4,5,0.38,27.6
138,2022-05-02,14:57:29,240.3,139.4,127.6,-56.2,36.81184333,-121.7812583,2.43,2.93,2.9,2.75,0,0.21,145.3,0.14,40.3,0.03,1.8,5,0.37,28
139,2022-05-02,14:57:34,242.7,141.6,129.2,-58.1,36.81185667,-121.78126,2.79,2.89,2.74,2.81,0,0.49,139.1,0.4,96.4,0.03,1.7,6,1.86,29.8
